,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"drivers license","Olivia Rodrigo",13628143,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
2,DÁKITI,"Bad Bunny",4278816,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
3,"Blinding Lights","The Weeknd",3359693,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
4,"Mood (feat. iann dior)",24kGoldn,3354811,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
5,positions,"Ariana Grande",3119695,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
6,34+35,"Ariana Grande",3079289,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
7,BICHOTA,"KAROL G",3016967,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1
8,Anyone,"Justin Bieber",3002502,https://open.spotify.com/track/31qCy5ZaophVA81wtlwLc4
9,"Good Days",SZA,2823084,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
10,"WITHOUT YOU","The Kid LAROI",2771766,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
11,Whoopty,CJ,2629116,https://open.spotify.com/track/5vGLcdRuSbUhD8ScwsGSdA
12,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",2622357,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
13,Dynamite,BTS,2616301,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
14,"LA NOCHE DE ANOCHE","Bad Bunny",2546788,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
15,"Levitating (feat. DaBaby)","Dua Lipa",2389083,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
16,"Therefore I Am","Billie Eilish",2386862,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
17,Bandido,"Myke Towers",2302120,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
18,"Hecha Pa' Mi",Boza,2237212,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
19,"you broke me first","Tate McRae",2233200,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
20,"What You Know Bout Love","Pop Smoke",2139725,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
21,"Save Your Tears","The Weeknd",2138296,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
22,"Monster (Shawn Mendes & Justin Bieber)","Shawn Mendes",2115904,https://open.spotify.com/track/1HbA4N1MiOsPthALesGFR1
23,"The Business",Tiësto,2002628,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
24,"Head & Heart (feat. MNEK)","Joel Corry",1981322,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
25,"Watermelon Sugar","Harry Styles",1959636,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
26,HOLIDAY,"Lil Nas X",1911530,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
27,Goosebumps,HVME,1905787,https://open.spotify.com/track/20McUFi8KCIVdNDLrkTDuZ
28,"Lonely (with benny blanco)","Justin Bieber",1894681,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
29,Afterglow,"Ed Sheeran",1891296,https://open.spotify.com/track/0E4Y1XIbs8GrAT1YqVy6dq
30,willow,"Taylor Swift",1876638,https://open.spotify.com/track/3Uo7WG0vmLQ07WB4BDwy7D
31,Hawái,Maluma,1830189,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
